net,length_um
u_mem._0383_,1.84
u_mem._0404_,1.84
u_read._37_,1.72
u_mem._0142_,1.7
u_mem._0290_,1.7
u_mem._0485_,1.7
u_write._04_,1.685
u_write._07_,1.685
u_mem._0430_,1.6
u_mem._0051_,1.575
u_mem._0108_,1.575
u_mem._0011_,1.46
u_mem._0000_,1.405
u_mem._0021_,1.405
u_mem._0044_,1.405
u_mem._0049_,1.405
u_mem._0089_,1.405
u_mem._0114_,1.405
u_mem._0337_,1.26
u_mem._0363_,1.15
u_mem._0180_,1.14
u_mem._0207_,1.14
u_mem._0227_,1.14
u_mem._0285_,1.14
u_mem._0292_,1.14
u_mem._0306_,1.14
u_mem._0353_,1.14
u_mem._0424_,1.14
u_mem._0437_,1.14
u_mem._0455_,1.14
u_read._12_,1.02
